sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
parent_rep1	lane_1	data/2612__parent_-_replicate_1_library-read-1.fastq.gz	data/2612__parent_-_replicate_1_library-read-3.fastq.gz			yes
E1_rep1	lane_1	data/2612__E1_-_replicate_1_library-read-1.fastq.gz	data/2612__E1_-_replicate_1_library-read-3.fastq.gz			yes
E2_rep1	lane_1	data/2612__E2_-_replicate_1_library-read-1.fastq.gz	data/2612__E2_-_replicate_1_library-read-3.fastq.gz			yes
A_rep1	lane_1	data/2612__A_-_replicate_1_library-read-1.fastq.gz	data/2612__A_-_replicate_1_library-read-3.fastq.gz			yes
M_rep1	lane_1	data/2612__M_-_replicate_1_library-read-1.fastq.gz	data/2612__M_-_replicate_1_library-read-3.fastq.gz			yes
YFPM_rep1	lane_1	data/2612__YFP_M_-_replicate_1_library-read-1.fastq.gz	data/2612__YFP_M_-_replicate_1_library-read-3.fastq.gz			yes
parent_rep2	lane_1	data/2612__parent_-_replicate_2_library-read-1.fastq.gz	data/2612__parent_-_replicate_2_library-read-3.fastq.gz			yes
E1_rep2	lane_1	data/2612__E1_-_replicate_2_library-read-1.fastq.gz	data/2612__E1_-_replicate_2_library-read-3.fastq.gz			yes
E2_rep2	lane_1	data/2612__E2_-_replicate_2_library-read-1.fastq.gz	data/2612__E2_-_replicate_2_library-read-3.fastq.gz			yes
A_rep2	lane_1	data/2612__A_-_replicate_2_library-read-1.fastq.gz	data/2612__A_-_replicate_2_library-read-3.fastq.gz			yes
M_rep2	lane_1	data/2612__M_-_replicate_2_library-read-1.fastq.gz	data/2612__M_-_replicate_2_library-read-3.fastq.gz			yes
YFPM_rep2	lane_1	data/2612__YFP_M_-_replicate_2_library-read-1.fastq.gz	data/2612__YFP_M_-_replicate_2_library-read-3.fastq.gz			yes
parent_rep3	lane_1	data/2612__parent_-_replicate_3_library-read-1.fastq.gz	data/2612__parent_-_replicate_3_library-read-3.fastq.gz			yes
E1_rep3	lane_1	data/2612__E1_-_replicate_3_library-read-1.fastq.gz	data/2612__E1_-_replicate_3_library-read-3.fastq.gz			yes
E2_rep3	lane_1	data/2612__E2_-_replicate_3_library-read-1.fastq.gz	data/2612__E2_-_replicate_3_library-read-3.fastq.gz			yes
A_rep3	lane_1	data/2612__A_-_replicate_3_library-read-1.fastq.gz	data/2612__A_-_replicate_3_library-read-3.fastq.gz			yes
M_rep3	lane_1	data/2612__M_-_replicate_3_library-read-1.fastq.gz	data/2612__M_-_replicate_3_library-read-3.fastq.gz			yes
YFPM_rep3	lane_1	data/2612__YFP_M_-_replicate_3_library-read-1.fastq.gz	data/2612__YFP_M_-_replicate_3_library-read-3.fastq.gz			yes
